Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
26-10-2017,281.05,284.6,267.35,272.95,17947,17.25,8.1
25-10-2017,264.8,288,258,281.05,71670,30,-16.25
24-10-2017,247.65,269,247.65,259.6,24738,21.35,-11.95
23-10-2017,246,256.7,240,248.15,36455,16.7,-2.15
19-10-2017,243,249,240.2,244.75,13943,8.8,-1.75
18-10-2017,218.5,250,215,239.6,56210,35,-21.1
17-10-2017,205.5,220,201.95,216.8,8337,18.05,-11.3
16-10-2017,213.85,214,203.55,205.45,11699,10.45,8.4
13-10-2017,209.75,217.9,206,209.75,9433,11.9,0
12-10-2017,210.05,212.4,208,208.95,5370,4.4,1.1
11-10-2017,218.85,219.9,207.8,208.65,9377,12.1,10.2
10-10-2017,210,216.5,208.65,215.8,9023,7.85,-5.8
09-10-2017,200,209.15,199.7,206.15,6765,9.45,-6.15
06-10-2017,200,203.2,195.8,197.75,3237,7.4,2.25
05-10-2017,188.9,197.5,188,195.6,6284,9.5,-6.7
04-10-2017,185,189.05,181.95,185.35,4956,7.1,-0.35
03-10-2017,189.5,189.5,182.15,182.5,2520,7.35,7
29-09-2017,181.85,188.8,181.85,184.5,2992,6.95,-2.65
28-09-2017,182.5,184.8,179.85,182.65,7444,4.95,-0.15
27-09-2017,184.65,194.6,180.55,181,8774,14.05,3.65
26-09-2017,189.5,189.5,180.1,183.7,5175,9.4,5.8
25-09-2017,193.15,193.15,180,186.6,8610,13.15,6.55
22-09-2017,204.5,204.5,189,191.65,18865,15.5,12.85
21-09-2017,193.65,221,193.65,205.3,73589,27.35,-11.65
20-09-2017,184.4,196,180,191.75,8317,16,-7.35
19-09-2017,189,189,179.75,180.7,6164,9.25,8.3
18-09-2017,177.25,191,174.5,186.85,9696,16.5,-9.6
15-09-2017,182.5,182.5,172.65,174.7,3674,9.85,7.8
14-09-2017,180,183,177,179,4197,6,1
13-09-2017,182.5,184.5,177.85,178.2,6014,6.65,4.3
12-09-2017,176.55,183.7,174.5,179.25,2015,9.2,-2.7
11-09-2017,184.75,184.8,176.5,176.85,8445,8.3,7.9
08-09-2017,190.85,190.85,178.85,179.5,7511,12,11.35
07-09-2017,171,193.4,168.85,186.5,30606,24.55,-15.5
06-09-2017,168,175,166.85,170.85,10179,8.15,-2.85
05-09-2017,165.3,174.6,165.25,172.65,7563,9.35,-7.35
04-09-2017,174.5,174.5,165,169.7,5200,9.5,4.8
01-09-2017,167.9,174.5,164.5,172.25,3227,10,-4.35
31-08-2017,169,169,160.2,163.45,1637,8.8,5.55
30-08-2017,163,169,163,167,1433,6,-4
29-08-2017,169.2,169.5,163,164.2,8995,6.5,5
28-08-2017,167,168,159,167.1,888,9,-0.1
24-08-2017,166.25,166.25,162,163,1981,4.25,3.25
23-08-2017,166.7,166.7,161,162.3,1494,5.7,4.4
22-08-2017,163,167,158,161.7,3058,9,1.3
21-08-2017,170.45,170.45,163,166,441,7.45,4.45
18-08-2017,169,170.5,164,165.6,13654,6.5,3.4
17-08-2017,170.65,174.45,170.65,171.25,1774,3.8,-0.6
16-08-2017,167,174,163,173.2,5080,11,-6.2
14-08-2017,162,169.2,162,164.05,1650,7.2,-2.05
11-08-2017,167,167,157.1,158.85,2134,9.9,8.15
10-08-2017,172,172,164,164.25,2127,8,7.75
09-08-2017,168.8,172.5,157,169.3,8276,15.5,-0.5
08-08-2017,178.85,180.45,172,172.75,5829,8.45,6.1
07-08-2017,179.9,181,177,180,2171,4,-0.1
04-08-2017,181,182.5,178.25,178.4,3670,4.25,2.6
03-08-2017,186.95,186.95,179.45,179.75,5073,7.5,7.2
02-08-2017,183,185.6,182,182.75,3520,3.6,0.25
01-08-2017,184.05,185.95,184,184.1,136,1.95,-0.05
31-07-2017,186.25,186.25,184,185.95,237,2.25,0.3
28-07-2017,181,188,181,184.1,2399,7,-3.1
27-07-2017,188,188.2,180,180.9,5210,8.2,7.1
26-07-2017,191,191.2,186.05,186.05,3609,5.15,4.95
25-07-2017,186.15,191.7,185.4,187.5,4427,6.3,-1.35
24-07-2017,191,191,185,185.6,3034,6,5.4
21-07-2017,187.4,191,185.65,188.75,3711,5.35,-1.35
20-07-2017,192.4,192.4,186,186.85,2705,6.4,5.55
19-07-2017,190,190.45,186,188.05,4573,4.45,1.95
18-07-2017,195,195,186,187.05,3542,9,7.95
17-07-2017,200,200,189.45,190.85,7184,10.55,9.15
14-07-2017,198,198,191,196.85,9005,7,1.15
13-07-2017,191.95,200,188.95,196.35,16767,11.05,-4.4
12-07-2017,192.4,194.3,182.6,191,5309,11.7,1.4
